Equipment Fault Number & Desc,Equipment Short Name,Count of Faults,Duration
128 - CN MACHINE NOT IN AUTO (128),2/12 Packer,6450,14600.36667
596 - MP L SHAPED CARTON (596),Maxim Packer,6351,9529.6
79 - FL CAN STOP NOT IN AUTO (79),FILLER,5315,7751.433333
674 - FL FILLER IS NOT RUNNING (674),FILLER,3382,12341.01667
595 - AL3-LANE B FLR INFD INVERTED END DETECT (595),ALF V-TRAY,3057,3738.55
594 - AL3-LANE A FLR INFD INVERTED END DETECT (594),ALF V-TRAY,2998,3096.033333
0 - PL1-CS-M MAIN E-STOP PUSHED ALARM (0),PALLETIZER 1,2966,17987.9
148 - CJ HMU NOT READY FAULT (148),12/12 Packer,2885,1170.1
545 - DP SHEET RAKE DID NOT RAISE (545),DEPALLETIZER,2874,3019.15
418 - CJ FALLEN CAN FAULT (418),12/12 Packer,2391,13796.68333
31 - SW1-CONTROL POWER IS OFF (31),STRETCH WRAP 1,2185,45341.75
589 - MP LOW CARTON SUPPLY FAULT (589),Maxim Packer,2092,3229.75
597 - MP MISSING CARTON (597),Maxim Packer,2025,2854.8
661 - CL SEAMER INTERNAL JAM LS PNLVW ALM (661),SEAMER,2005,6466.933333
572 - SW1-BROKEN FILM DETECTED (572),STRETCH WRAP 1,2000,3581.95
657 - CL SEAMER DISCHARGE TABLE JAM PX10L30714(657),SEAMER,1938,7568.366667
562 - RS WEST(RIGHT) LANE RINSER JAM (562),RINSER,1866,1919.133333
419 - CJ LASER CODER FAULT (419),12/12 Packer,1859,16741.21667
37 - MP GUARD DOOR 1 OPEN (37),Maxim Packer,1857,1029.6
66 - AL2-LID DEPALL NOT IN AUTO MODE (66),ALF LID DEPAL,1737,9348.516667
112 - MP FALLEN CAN LOWER TIER LANE 1 (112),Maxim Packer,1585,39369.66667
40 - MP GUARD DOOR 4 OPEN (40),Maxim Packer,1473,2122.083333
572 - FC1-EAST COMBINER JAM FAULT (572),FULL CAN 1,1425,1626.35
31 - SW2-CONTROL POWER OFF (31),STRETCH WRAP 2,1318,45553.71667
67 - AL2-LID DEPALL NOT IN AUTO START MODE (67),ALF LID DEPAL,1309,7876.866667
563 - RS EAST(LEFT) LANE RINSER JAM (563),RINSER,1216,1106.116667
424 - CN TRANSFER FAULT (424),2/12 Packer,1195,4864.616667
588 - MP SLIP SHEET MISSING (588),Maxim Packer,1182,1526.2
0 - PL2-CS-M MAIN E-STOP PUSHED ALARM (0),PALLETIZER 2,1171,14315.2
640 - AL2-PACK ELEVATOR JAM (640),ALF LID DEPAL,1094,3773.666667
575 - AL LANE A/B LOWER SHUTTER NOT FULL FLT (575),ALF DEBAGGER,1055,2453.216667
564 - FC1-FILTEC 3&4 LANE JAM (564),FULL CAN 1,1007,2814.033333
417 - CJ OPEN FLAP FAULT (417),12/12 Packer,974,6190.733333
41 - MP GUARD DOOR 5 OPEN (41),Maxim Packer,966,1416.85
614 - PS HOT ZONE LOW TEMP FAULT (614),PASTEURIZER,966,446.05
771 - MP DEL BELT DWN CYCLE STOP AUTO RESTART (771),Maxim Packer,938,2303
634 - BP FILLER GATE NOT ENABLED FROM BREWING (634),BEER PIPE,922,1700.416667
603 - MP INCOMPLETE GLUE PATTERN AT DISCHARGE (603),Maxim Packer,890,3743.3
123 - MP FALLEN CAN UPPER TIER LANE 6 (123),Maxim Packer,861,1263.033333
707 - RS EAST & WEST LANES (12OZ) LOW WTR FLW (707),RINSER,841,158.2333333
608 - RS FOREIGN LIQUID ALARM WEST LANE (608),RINSER,825,523.4833333
448 - MP AXIS2 FLAP CLOSER (OS) SERVO FAULT (448),Maxim Packer,805,1541.3
594 - MP UPR TIER SHORT COUNT DETECT (594),Maxim Packer,796,1143.633333
609 - RS FOREIGN LIQUID ALARM EAST LANE (609),RINSER,792,347.95
39 - MP GUARD DOOR 3 OPEN (39),Maxim Packer,749,2048.7
1 - PL1-CS-DC DISCHARGE E-STOP PUSHED ALARM (1),PALLETIZER 1,745,9344.033333
864 - MP AXIS5 CARTON FEED SERVO FAULT (864),Maxim Packer,719,1640.6
572 - SW2-BROKEN FILM DETECTED (572),STRETCH WRAP 2,714,1973.3
1714 - MP AXIS 2 TORQUE OVERLOAD FAULT (1714),Maxim Packer,672,1699.016667
547 - DP FRAME REMOVER DID NOT RAISE (547),DEPALLETIZER,670,441.2333333
758 - AL2-LID DEPALL CYCLE PROCESS FAULT (758),ALF LID DEPAL,670,4271.716667
755 - CN DISCHARGE BACKUP (755),2/12 Packer,668,19170.06667
798 - MP LOW PRIME (798),Maxim Packer,637,6835.133333
100 - DC2-AC-12 NOT IN AUTO MODE (100),WOOD OUT,609,10322.4
656 - RS CAN GAP AT FILLER INFEED (656),RINSER,609,48165.38333
687 - FL MTBF ACTIVE EVENT WARNING (687),FILLER,606,42743.96667
590 - MP DIVERTER JAM CYCLE STOP (590),Maxim Packer,595,1041
598 - AL DEBAGGER LANE A DISCHARGE JAM (598),ALF DEBAGGER,564,1508.816667
512 - DP SHEET NOT DETECTED (512),DEPALLETIZER,545,2064.25
122 - MP FALLEN CAN UPPER TIER LANE 5 (122),Maxim Packer,544,698.0833333
768 - CJ INTERNAL CYCLE STOP (768),12/12 Packer,531,231.0666667
560 - PL1-LOAD OUT OF PLUMB (560),PALLETIZER 1,528,1346.033333
575 - PL1 HOIST BLOCK IS OUT OF POSITION (575),PALLETIZER 1,526,12684.38333
64 - DP MACHINE NOT IN AUTO (64),DEPALLETIZER,526,3711.466667
599 - AL DEBAGGER LANE B DISCHARGE JAM (599),ALF DEBAGGER,517,1246.4
44 - MP GUARD DOOR 8 OPEN (44),Maxim Packer,515,310.6
572 - MP 3 CONSECUTIVE OPEN OUTER FLAPS (572),Maxim Packer,502,895.0166667
569 - SW1-CARRIAGE IS NOT AT HOME (569),STRETCH WRAP 1,494,37.56666667
51 - AL2-MAIN LIFT LIGHT CURTAIN BROKEN (51),ALF LID DEPAL,492,6802.133333
146 - CJ MISSING CARTON (146),12/12 Packer,486,694.2833333
704 - RS WEST RINSER WATER PRESSURE LOW (704),RINSER,477,256.4333333
775 - MP REJECT CONVEYOR FULL (775),Maxim Packer,462,2654.383333
670 - DP CHPPR FEEDING NOT COMPLTE FROM MN PV (670),DEPALLETIZER,449,1579.216667
564 - AL LANE B NO ENDS PRESENT (564),ALF DEBAGGER,443,357.7166667
582 - DB1-CARTON TURNER JAM AT MT10DB 21 (582),DELIVERY BELT 1,431,826.2333333
560 - DC2-GENERAL BCR FAULT (560),WOOD OUT,429,4576.866667
22 - PL1-E-9C SAFETY EYE IS BLOCKED (22),PALLETIZER 1,426,334.6333333
114 - MP FALLEN CAN LOWER TIER LANE 3 (114),Maxim Packer,419,621.2833333
426 - PL2 CS-M INFEED OFF/ON SWITCH TURNED OFF (426),PALLETIZER 2,411,1883.633333
23 - PL1-E-9D SAFETY EYE IS BLOCKED (23),PALLETIZER 1,409,2074.933333
576 - PL2-HOIST BLOCK IS OUT OF POSITION (576),PALLETIZER 2,407,9420.666667
96 - DP CONVEYORS NOT IN AUTO (96),DEPALLETIZER,403,10979.16667
140 - FC1-TT10F-1 & 12 NOT IN AUTO CST10P2 (140),FULL CAN 1,390,2362.633333
570 - PL2-LOW AIR DETECTED ALARM (570),PALLETIZER 2,384,11286.83333
116 - MP FALLEN CAN LOWER TIER LANE 5 (116),Maxim Packer,383,622.5166667
562 - AL LANE A NO ENDS PRESENT (562),ALF DEBAGGER,383,315.4833333
577 - FC1 WEST COMBINER PAN FULL (577),FULL CAN 1,373,630.75
566 - RS WEST (RIGHT) LN TWIST COMBINER JAM (566),RINSER,369,196.1666667
591 - PS LOG OUT @ DISCHARGE RESET @ CST-P2 (591),PASTEURIZER,369,1177.633333
794 - EC VIDEO JET CODER B ENCODER/DET FAULT (794),EMPTY CAN,343,5946.2
117 - MP FALLEN CAN LOWER TIER LANE 6 (117),Maxim Packer,335,376.7833333
9030 - Runout Complete - Begin Interface dump,FILLER,327,1197.6
9010 - AutoBrand Change Initiated,FILLER,326,2681.6
120 - MP FALLEN CAN UPPER TIER LANE 3 (120),Maxim Packer,321,619.1666667
560 - FC1-FILTEC 1&2 LANE JAM (560),FULL CAN 1,318,981.4333333
578 - DB1-MERGE JAM ON 24 (578),DELIVERY BELT 1,318,372.2666667
9050 - AutoBrand Change Complete,FILLER,316,5.266666667
9040 - Dump Complete - wait on acknowledge,FILLER,314,674.2166667
34 - CJ CARTON FEED GUARD OPEN (34),12/12 Packer,312,420.0333333
583 - DB1-JAM AT MAXIM PKR INCLINE DB1-27 (583),DELIVERY BELT 1,309,191.4
577 - PS DISCHARGE BACKUP LOWER DECK FAULT (577),PASTEURIZER,307,1228.566667
426 - CJ FUMEX DIFF. PRESSURE FAULT (426),12/12 Packer,305,4616.3
593 - MP UPR TIER 2 CONSCTV SHORT CNTS DETECT (593),Maxim Packer,300,673.7666667
0 - CJ E-STOP PRESSED (0),12/12 Packer,298,79.03333333
9020 - Brewing Complete - Begin runout,FILLER,294,4.9
625 - AL2-PALLET POSITION CYLINDER MOTION (625),ALF LID DEPAL,292,781.4833333
602 - MP LASER CODER NOT READY (602),Maxim Packer,291,446.5666667
65 - AL DEBAGGER NOT IN AUTO START (65),ALF DEBAGGER,289,843.7833333
565 - PL2-PALLET MISFEED ALARM (565),PALLETIZER 2,287,1398.816667
566 - FC1-FILTEC 3&4 ONE FILTEC FAULTED (566),FULL CAN 1,281,245.5833333
38 - MP GUARD DOOR 2 OPEN (38),Maxim Packer,277,738.1
9049 - AutoBrand Change Aborted,FILLER,274,789.4
160 - PL1-RACK 7 1ST 1/4 FLT MAIN REDIPANEL1 (160),PALLETIZER 1,269,7212.1
560 - PL2-LOAD OUT OF PLUMB (560),PALLETIZER 2,261,842.7333333
146 - CN MISSING CARTON (146),2/12 Packer,259,326.9166667
144 - CJ MISSING LOAD (144),12/12 Packer,256,6.966666667
